question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
What demographic and lifestyle factors are categorized in relation to mean BMI and waist circumference?,PMC4537884_00002_table0.png,figure,gpt4o,0,0,0,0,0,0.0,462,4,731.6,0.001195,I don't know.,,0,0,0,0,0,0.0,540,4,536.4,0.00139,I don't know.,,0,0,0,0,0,0.0,521,58,1200.8,0.001882,"The text mentions sociodemographic and lifestyle factors in relation to BMI, waist circumference, and prevalence rates of overweight and abdominal obesity, but ",,0,0,1,0,0,0.0,603,48,1284.6,0.001988,"The text mentions that the prevalence rates of overweight and abdominal obesity, which are related to BMI and waist circumference, are associated with sociodemo",
How many genes are included in the Retinitis Pigmentosa panel?,PMC5592712_00002_table0.png,figure,gpt4o,1,1,1,0,0,0.0,492,12,640.5,0.00135,The Retinitis Pigmentosa panel includes 132 genes.,,1,1,1,0,0,0.0,512,12,564.2,0.0014,The Retinitis Pigmentosa panel includes 132 genes.,,1,1,1,0,0,0.0,553,12,1080.2,0.001503,The Retinitis Pigmentosa panel includes 132 genes.,,1,1,1,0,0,0.0,577,12,659.0,0.001563,The Retinitis Pigmentosa panel includes 132 genes.,
"What are the statistical methods used to estimate incremental cost, incremental QALYs, and incremental net benefit (INB)?",PMC5763423_00016_table0.png,figure,gpt4o,0,0,0,0,0,0.0,335,4,616.7,0.000878,I don't know.,,0,0,0,0,0,0.0,374,4,638.8,0.000975,I don't know.,,0,0,1,0,0,0.0,413,32,3280.2,0.001352,"I don't know. The provided text does not specify the statistical methods used to estimate incremental cost, incremental QALYs, and incremental net benefit (INB)",,0,0,0,0,0,0.0,456,60,1255.1,0.00174,"The text context and knowledge-graph facts mention methods for obtaining causal cost-effectiveness estimates, but they do not specify the exact statistical meth",
What genetic variants are analyzed for allele frequency in the NLGN3 and NLGN4X genes?,PMC3120659_00004_table0.png,figure,gpt4o,0,1,1,0,0,0.0,479,29,836.2,0.001488,The specific genetic variants analyzed for allele frequency in the NLGN3 and NLGN4X genes are not mentioned in the provided context.,,0,0,1,0,0,0.0,492,26,1304.0,0.00149,The context does not provide specific genetic variants analyzed for allele frequency in the NLGN3 and NLGN4X genes.,,0,0,1,0,0,0.0,524,45,1136.2,0.00176,"The text mentions that allelic frequencies and case-control association analysis with ASDs were conducted within the NLGN3 and NLGN4X genes, but it does not spe",,0,0,1,0,0,0.0,541,42,1988.6,0.001772,"The text mentions that allelic frequencies and case-control association analysis were conducted within the NLGN3 and NLGN4X genes, but it does not specify which",
What types of microorganisms are distributed in the saturated zone during baseflow and an event?,PMC5947618_00010_figure0.png,figure,gpt4o,0,0,0,0,0,0.0,446,4,625.1,0.001155,I don't know.,,0,0,0,0,0,0.0,459,24,1118.9,0.001388,The context does not provide specific information about the types of microorganisms distributed in the saturated zone during baseflow and an event.,,1,1,1,1,1,1.0,527,31,893.8,0.001628,"The types of microorganisms distributed in the saturated zone during baseflow and an event include protozoa, bacteria and archaea, and bacteriophages.",,1,1,1,1,1,1.0,544,31,1110.1,0.00167,"The types of microorganisms distributed in the saturated zone during baseflow and an event include protozoa, bacteria and archaea, and bacteriophages.",
"What are the concentrations of TGFβ1, IL-1β, and IL-6 across the three groups?",PMC5986835_00005_figure0.png,figure,gpt4o,0,0,0,0,0,0.0,578,4,522.2,0.001485,I don't know.,,0,0,0,0,0,0.0,591,4,1708.9,0.001518,I don't know.,,0,0,1,0,0,0.0,635,32,1052.0,0.001908,"I don't know. The provided text does not include specific concentrations of TGFβ1, IL-1β, and IL-6 across the three groups.",,0,0,1,0,0,0.0,652,32,1039.2,0.00195,"I don't know. The provided text does not specify the concentrations of TGFβ1, IL-1β, and IL-6 across the three groups.",
What are the key considerations for bariatric intervention in type 1 diabetes?,PMC4936488_00011_table0.png,figure,gpt4o,0,0,0,0,0,0.0,323,4,602.1,0.000847,I don't know.,,0,0,0,0,0,0.0,336,4,815.5,0.00088,I don't know.,,0,0,0,0,0,0.0,384,28,1203.8,0.00124,I don't know. The provided text context does not include specific information about key considerations for bariatric intervention in individuals with type 1 dia,,0,0,0,0,0,0.0,401,4,713.7,0.001043,I don't know.,
What are the categories compared for the duration and display percentages of alcohol cues and responsible drinking statements?,PMC5467671_00004_table0.png,figure,gpt4o,0,0,0,0,0,0.0,401,4,738.1,0.001043,I don't know.,,0,0,0,0,0,0.0,437,4,594.6,0.001132,I don't know.,,0,0,0,0,0,0.0,470,4,974.4,0.001215,I don't know.,,0,0,0,0,0,0.0,510,4,761.8,0.001315,I don't know.,
What does the phylogenetic tree illustrate about genetic relationships?,PMC4366372_00020_figure0.png,figure,gpt4o,0,1,1,0,0,0.0,350,58,1876.9,0.001455,"The phylogenetic tree illustrates the evolutionary distance between species, with the scale representing the equivalent of 0.1 changes per site. It shows the ph",,0,0,0,0,0,0.0,363,4,808.4,0.000947,I don't know.,,0,1,1,0,0,0.0,409,32,744.3,0.001342,"The phylogenetic tree illustrates the evolutionary relationships among various Entamoeba species, indicating differences in the number of nuclei per cyst and th",,0,1,1,0,0,0.0,426,47,1096.6,0.001535,The phylogenetic tree illustrates the evolutionary relationships among various Entamoeba species. It shows the genetic relationships by depicting species that p,
What opportunities for additional funding are available for undergraduate medical education at Radboud University Medical Center?,PMC5579150_00007_table0.png,figure,gpt4o,0,0,0,0,0,0.0,384,4,974.5,0.001,I don't know.,,0,0,0,0,0,0.0,419,4,615.1,0.001087,I don't know.,,1,0,1,1,1,1.0,459,25,2665.1,0.001398,The opportunities for additional funding for undergraduate medical education at Radboud University Medical Center are available via SIRPME grants.,,1,0,1,1,1,1.0,498,25,10663.6,0.001495,Opportunities for additional funding for undergraduate medical education at Radboud University Medical Center are available via SIRPME grants.,
