question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
What demographic and lifestyle factors are categorized in relation to mean BMI and waist circumference?,PMC4537884_00002_table0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,462,4,1206.5,7.2e-05,I don't know.,,0,0,0,0,0,0.0,540,4,821.2,8.3e-05,I don't know.,,0,0,0,0,0,0.0,521,4,1735.6,8.1e-05,I don't know.,,0,0,0,0,0,0.0,603,4,1041.2,9.3e-05,I don't know.,
How many genes are included in the Retinitis Pigmentosa panel?,PMC5592712_00002_table0.png,figure,gpt4o-mini,1,1,1,0,0,0.0,492,12,1174.0,8.1e-05,The Retinitis Pigmentosa panel includes 132 genes.,,1,1,1,0,0,0.0,512,12,706.9,8.4e-05,The Retinitis Pigmentosa panel contains 132 genes.,,1,1,1,0,0,0.0,553,12,913.5,9e-05,The Retinitis Pigmentosa panel includes 132 genes.,,1,1,1,0,0,0.0,577,12,904.5,9.4e-05,The Retinitis Pigmentosa panel includes 132 genes.,
"What are the statistical methods used to estimate incremental cost, incremental QALYs, and incremental net benefit (INB)?",PMC5763423_00016_table0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,335,4,613.1,5.3e-05,I don't know.,,0,0,0,0,0,0.0,374,4,622.0,5.8e-05,I don't know.,,0,0,0,0,0,0.0,413,4,542.3,6.4e-05,I don't know.,,0,0,0,0,0,0.0,456,4,630.6,7.1e-05,I don't know.,
What genetic variants are analyzed for allele frequency in the NLGN3 and NLGN4X genes?,PMC3120659_00004_table0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,479,4,1132.6,7.4e-05,I don't know.,,0,0,0,0,0,0.0,492,4,2633.3,7.6e-05,I don't know.,,0,0,0,0,0,0.0,524,4,4914.7,8.1e-05,I don't know.,,0,0,1,0,0,0.0,541,34,1013.8,0.000102,"The text context does not specify the exact genetic variants analyzed for allele frequency in the NLGN3 and NLGN4X genes. Therefore, I don't know.",
What types of microorganisms are distributed in the saturated zone during baseflow and an event?,PMC5947618_00010_figure0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,446,4,818.9,6.9e-05,I don't know.,,0,0,0,0,0,0.0,459,4,646.8,7.1e-05,I don't know.,,1,1,1,1,1,1.0,527,31,7934.3,9.8e-05,"The types of microorganisms distributed in the saturated zone during baseflow and an event include protozoa, bacteria, archaea, and bacteriophages.",,1,1,1,1,1,1.0,544,31,1151.4,0.0001,"The types of microorganisms distributed in the saturated zone during baseflow and an event include protozoa, bacteria, archaea, and bacteriophages.",
"What are the concentrations of TGFβ1, IL-1β, and IL-6 across the three groups?",PMC5986835_00005_figure0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,578,4,916.0,8.9e-05,I don't know.,,0,0,0,0,0,0.0,591,4,934.4,9.1e-05,I don't know.,,0,0,0,0,0,0.0,635,4,663.3,9.8e-05,I don't know.,,0,0,0,0,0,0.0,652,4,502.0,0.0001,I don't know.,
What are the key considerations for bariatric intervention in type 1 diabetes?,PMC4936488_00011_table0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,323,4,616.8,5.1e-05,I don't know.,,0,0,0,0,0,0.0,336,4,584.0,5.3e-05,I don't know.,,0,0,0,0,0,0.0,384,4,1280.4,6e-05,I don't know.,,0,0,0,0,0,0.0,401,4,777.4,6.3e-05,I don't know.,
What are the categories compared for the duration and display percentages of alcohol cues and responsible drinking statements?,PMC5467671_00004_table0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,401,4,920.9,6.3e-05,I don't know.,,0,0,0,0,0,0.0,437,4,576.3,6.8e-05,I don't know.,,0,0,0,0,0,0.0,470,4,622.8,7.3e-05,I don't know.,,0,0,0,0,0,0.0,510,4,677.5,7.9e-05,I don't know.,
What does the phylogenetic tree illustrate about genetic relationships?,PMC4366372_00020_figure0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,350,4,826.5,5.5e-05,I don't know.,,0,0,0,0,0,0.0,363,4,995.9,5.7e-05,I don't know.,,0,1,1,0,0,0.0,409,30,927.3,7.9e-05,"The phylogenetic tree illustrates the evolutionary relationships among various Entamoeba species, indicating the number of nuclei per cyst and whether cysts are",,0,1,1,0,0,0.0,426,30,1076.9,8.2e-05,"The phylogenetic tree illustrates the evolutionary relationships among various Entamoeba species, indicating the number of nuclei per cyst and whether cysts are",
What opportunities for additional funding are available for undergraduate medical education at Radboud University Medical Center?,PMC5579150_00007_table0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,384,4,603.4,6e-05,I don't know.,,0,0,0,0,0,0.0,419,4,642.3,6.5e-05,I don't know.,,1,0,1,1,1,1.0,459,24,856.4,8.3e-05,The opportunities for additional funding available for undergraduate medical education at Radboud University Medical Center include SIRPME grants.,,1,0,1,1,1,1.0,498,19,846.6,8.6e-05,Opportunities for additional funding at Radboud University Medical Center include SIRPME grants.,
What are the matrix factor percentages for DMEM/F12 and Fetal M199 at concentrations of 0.01 and 10.0 µg/mL?,PMC6035002_00013_table0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,425,4,1841.0,6.6e-05,I don't know.,,0,0,0,0,0,0.0,477,4,745.0,7.4e-05,I don't know.,,0,0,0,0,0,0.0,474,4,742.8,7.3e-05,I don't know.,,0,0,0,0,0,0.0,530,4,808.2,8.2e-05,I don't know.,
What images are used for the go trials in the task setup?,PMC4596151_00004_figure0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,546,4,580.1,8.4e-05,I don't know.,,0,1,1,0,0,0.0,584,28,805.8,0.000104,"The images used for the go trials in the task setup include unaltered faces and altered faces, with 32 trials presenting each type.",,1,0,1,1,1,1.0,609,18,890.2,0.000102,"The images used for the ""go"" trials in the task setup are grapes and socks.",,1,0,1,1,1,1.0,651,18,680.0,0.000108,"The images used for the ""go"" trials in the task setup are grapes and socks.",
How are synthetic microbial communities categorized based on the type of mix and the number of FMG strains missing?,PMC6061470_00004_table0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,459,4,615.3,7.1e-05,I don't know.,,0,0,0,0,0,0.0,484,4,563.6,7.5e-05,I don't know.,,0,0,0,0,0,0.0,519,4,965.2,8e-05,I don't know.,,0,0,0,0,0,0.0,548,4,774.1,8.5e-05,I don't know.,
What genetic mutations are associated with ovarian cancer development?,PMC3537528_00006_figure0.png,figure,gpt4o-mini,1,1,1,0,0,0.0,472,42,924.6,9.6e-05,Mutations in the TP53 gene are associated with the early development of high-grade serous (HGS) ovarian cancer. More than 96% of patients with HGS cancer have m,,1,1,1,0,0,0.0,531,42,985.2,0.000105,Mutations in the TP53 gene are associated with the early development of high-grade serous (HGS) ovarian cancer. More than 96% of patients with HGS cancer have m,,1,1,1,0,0,0.0,532,84,1750.3,0.00013,Mutations in the TP53 gene are associated with the early development of high-grade serous (HGS) ovarian cancer. More than 96% of patients with HGS cancer have m,,1,1,1,0,0,0.0,595,84,1569.1,0.00014,Mutations in the TP53 gene are associated with the early development of high-grade serous (HGS) ovarian cancer. More than 96% of patients with HGS cancer have m,
What measurements are compared between the right and left conchae bullosa?,PMC3541255_00002_table1.png,figure,gpt4o-mini,0,1,1,0,0,0.0,484,33,1108.6,9.2e-05,The frequency of concha bullosa is compared between the left side (16.0% of patients) and the right side (27.6% of patients).,,0,0,0,0,0,0.0,497,4,647.0,7.7e-05,I don't know.,,0,0,1,0,0,0.0,560,61,1156.6,0.000121,The text does not provide specific measurements compared between the right and left conchae bullosa. It only mentions the frequency of concha bullosa seen in th,,0,0,0,0,0,0.0,577,4,891.8,8.9e-05,I don't know.,
What metrics are related to fast gait speed conditions?,PMC5397518_00006_table0.png,figure,gpt4o-mini,1,1,1,0,0,0.0,423,92,1691.0,0.000119,"The metrics related to fast gait speed conditions include the duration of gait phases and the RMS of angular velocity around the AP (anterior-posterior) axis, a",,0,0,0,0,0,0.0,436,4,564.8,6.8e-05,I don't know.,,1,0,1,0,0,0.0,501,67,3370.0,0.000115,"The text mentions that in the fast gait (FS) condition, the kinematic parameters that were significantly different between groups included the duration of 4 gai",,0,0,1,0,0,0.0,518,84,1697.6,0.000128,"The text context mentions that in the fast gait (FS) condition, the significant kinematic parameters include the duration of gait phases (4 gait phases) and the",
What descriptive statistics are provided for healthcare-related input and output variables?,PMC5423988_00002_table0.png,figure,gpt4o-mini,0,1,1,0,0,0.0,471,40,1100.4,9.5e-05,"The descriptive statistics provided for healthcare-related input and output variables include mean and standard deviation (SD) for continuous variables, and num",,0,1,1,0,0,0.0,496,17,754.1,8.5e-05,The descriptive statistics provided for healthcare-related input and output variables include mean and standard deviation.,,0,1,1,0,0,0.0,527,86,1847.5,0.000131,The descriptive statistics provided for healthcare-related input and output variables include simple descriptive statistics such as mean and standard deviation ,,0,1,1,0,0,0.0,556,31,996.5,0.000102,"The descriptive statistics provided for healthcare-related input and output variables include mean and standard deviation (SD) for continuous variables, as well",
What treatments affect NF-κB p65 nuclear localization?,PMC5228585_00006_figure0.png,figure,gpt4o-mini,1,1,1,0,0,0.0,467,53,1055.6,0.000102,The context mentions that treatment with EMS inhibits TNF-α induced MMP-1 expression by suppressing NF-κB nuclear localization in human dermal fibroblasts (HDFs,,0,0,0,0,0,0.0,480,4,705.6,7.4e-05,I don't know.,,1,0,1,0,0,0.0,546,53,3336.2,0.000114,The text mentions that treatment with EMS inhibits TNF-α induced MMP-1 expression by suppressing NF-κB nuclear localization in human dermal fibroblasts (HDFs). ,,1,0,1,0,0,0.0,563,53,1547.4,0.000116,The text mentions that treatment with EMS inhibits TNF-α induced MMP-1 expression by suppressing NF-κB nuclear localization in human dermal fibroblasts (HDFs). ,
What metrics decline over time during enzyme replacement therapy over 10 years?,PMC5760608_00003_figure0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,505,4,1533.6,7.8e-05,I don't know.,,0,0,0,0,0,0.0,518,4,689.8,8e-05,I don't know.,,0,0,0,0,0,0.0,584,4,607.5,9e-05,I don't know.,,0,0,0,0,0,0.0,601,4,809.1,9.3e-05,I don't know.,
What information is provided about genes associated with MODY?,PMC4934136_00003_table0.png,figure,gpt4o-mini,1,1,1,0,0,0.0,473,86,1516.4,0.000123,"The context mentions that in a study, 27 variants of genes were reviewed in relation to MODY. Out of these, nine novel variants were considered likely pathogeni",,1,1,1,0,0,0.0,486,103,2621.9,0.000135,"The context passages mention that in a study, 27 variants of genes were reviewed in relation to MODY. Out of these, nine novel variants were considered likely p",,1,1,1,0,0,0.0,538,91,1820.8,0.000135,"The text mentions that a total of 27 variants of uncertain significance (VUS) were reviewed, with nine novel variants considered likely pathogenic mutations and",,0,0,1,0,0,0.0,555,92,1884.0,0.000138,"The text context mentions that in a study, 27 variants of genes were reviewed, with nine novel variants considered likely pathogenic mutations and 17 variants c",
What clinical characteristic shows a significant difference between MODY-negative and MODY-positive groups at diabetes onset?,PMC4934136_00003_table1.png,figure,gpt4o-mini,0,1,1,0,0,0.0,535,89,1571.5,0.000134,The clinical characteristic that shows a significant difference between MODY-negative and MODY-positive groups at diabetes onset is the type of diabetes diagnos,,0,1,1,0,0,0.0,548,80,1738.8,0.00013,"At diabetes onset, a significant difference between MODY-positive and MODY-negative groups is that MODY-positive subjects were more likely to have a clinical di",,1,1,1,1,1,1.0,600,36,1081.7,0.000112,"The clinical characteristic that shows a significant difference between MODY-negative and MODY-positive groups at diabetes onset is age, as well as HbA1c levels",,1,1,1,1,1,1.0,617,48,2441.7,0.000121,"The clinical characteristic that shows a significant difference between MODY-negative and MODY-positive groups at diabetes onset is the age, as well as HbA1c le",
What are the effects of control and leptin antibody + leptin treatments on the average number of large luteal cells per area?,PMC5791151_00005_table0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,391,4,731.0,6.1e-05,I don't know.,,0,0,0,0,0,0.0,410,4,1189.9,6.4e-05,I don't know.,,0,0,0,0,0,0.0,475,4,533.8,7.4e-05,I don't know.,,0,0,0,0,0,0.0,498,4,1330.4,7.7e-05,I don't know.,
What treatments are compared for their effects on fluorescence ratios in the samples?,PMC5839695_00013_figure0.png,figure,gpt4o-mini,0,1,1,0,0,0.0,461,19,2865.4,8.1e-05,The treatments compared for their effects on fluorescence ratios in the samples are untreated and heat-treated cures.,,0,0,1,0,0,0.0,504,19,942.3,8.7e-05,The treatments compared for their effects on fluorescence ratios in the samples are untreated and heat-treated cures.,,0,1,1,0,0,0.0,535,19,853.4,9.2e-05,The treatments compared for their effects on fluorescence ratios in the samples are untreated and heat-treated cures.,,0,1,1,0,0,0.0,582,19,1008.9,9.9e-05,The treatments compared for their effects on fluorescence ratios in the samples are untreated and heat-treated cures.,
What clinical and demographic characteristics are compared between patients with and without disease progression?,PMC3211193_00002_table0.png,figure,gpt4o-mini,0,1,1,0,0,0.0,487,66,2543.9,0.000113,The clinical and demographic characteristics compared between patients with and without disease progression include the percentage of patients presenting with B,,0,1,1,0,0,0.0,561,115,1955.4,0.000153,The clinical and demographic characteristics compared between patients with and without disease progression include:  1. Age 2. EuroSCORE 3. Hypertension 4. Dia,,0,1,1,0,0,0.0,561,58,1144.8,0.000119,"The clinical and demographic characteristics compared between patients with and without disease progression include lymph node status, baseline laboratory value",,0,0,1,0,0,0.0,639,124,2120.9,0.00017,The clinical and demographic characteristics compared between patients with and without disease progression include:  1. Age 2. EuroSCORE 3. Hypertension 4. Dia,
What topics are discussed in the dialogue transcript between S05-P and S07-H?,PMC4895853_00003_figure2.png,figure,gpt4o-mini,0,0,0,0,0,0.0,414,4,590.1,6.4e-05,I don't know.,,0,0,0,0,0,0.0,427,4,701.3,6.6e-05,I don't know.,,0,0,0,0,0,0.0,459,4,590.0,7.1e-05,I don't know.,,0,0,0,0,0,0.0,476,4,1876.3,7.4e-05,I don't know.,
What is the relationship between erythema or dryness and lotion transfer index across different pads?,PMC4802086_00006_figure0.png,figure,gpt4o-mini,0,1,1,0,0,0.0,460,110,1544.8,0.000135,"The results showed no significant differences in erythema scores as the amount of lotion transferred increased. However, skin dryness scores decreased with incr",,0,1,1,0,0,0.0,484,117,2377.0,0.000143,"The results indicate that there were no significant differences in erythema scores as the amount of lotion transferred increased. However, skin dryness scores d",,0,1,1,0,0,0.0,515,110,2535.4,0.000143,"The results indicate that there were no significant differences in erythema scores as the amount of lotion transferred increased. However, skin dryness scores d",,0,1,1,0,0,0.0,543,113,1762.9,0.000149,"The results indicate that there were no significant differences in erythema scores as the amount of lotion transferred increased. However, skin dryness scores d",
"What are the overall survival rates for dental implants at 1, 5, and 10 years?",PMC5906482_00007_table0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,491,4,592.1,7.6e-05,I don't know.,,0,0,0,0,0,0.0,530,4,792.7,8.2e-05,I don't know.,,0,0,0,0,0,0.0,547,4,502.3,8.4e-05,I don't know.,,0,0,0,0,0,0.0,590,4,536.8,9.1e-05,I don't know.,
What are the mechanisms of action for lipid-lowering drugs in cholesterol metabolism?,PMC5874549_00003_figure0.png,figure,gpt4o-mini,1,1,1,0,0,0.0,390,99,1986.7,0.000118,The mechanisms of action for lipid-lowering drugs in cholesterol metabolism include activating the peroxisome proliferator-activated receptor-alpha (PPAR-alpha),,0,0,0,0,0,0.0,433,4,669.0,6.7e-05,I don't know.,,0,0,1,0,0,0.0,458,120,2152.4,0.000141,"The text mentions that fibrates, a class of lipid-lowering drugs, exert their effects mainly by activating the peroxisome proliferator-activated receptor-alpha ",,0,0,1,0,0,0.0,505,132,2595.9,0.000155,"The text context mentions that fibrates, a class of lipid-lowering drugs, exert their effects mainly by activating the peroxisome proliferator-activated recepto",
