question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_complete,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_complete,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
"At 40 months of analysis time, what is the approximate percentage of patients not achieving clinical benefit and not reducing clinical benefit in the survival curve?",PMC5649768_00004_figure1.png,figure,gpt4o-mini,0,0,0,0,0,0.0,456,4,1272.3,7.1e-05,I don't know.,,0,0,0,0,0,0.0,508,4,616.4,7.9e-05,I don't know.,,0,0,0,1,1,1.0,535,4,654.5,8.3e-05,I don't know.,,0,0,0,1,1,1.0,591,4,6543.5,9.1e-05,I don't know.,
What is the residual deviance value for the model with 2 degrees of freedom in 2013?,PMC5710651_00006_table0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,420,4,611.8,6.5e-05,I don't know.,,0,0,0,0,0,0.0,433,4,1056.8,6.7e-05,I don't know.,,0,0,0,0,0,0.0,490,4,836.8,7.6e-05,I don't know.,,0,0,0,0,0,0.0,507,4,842.4,7.8e-05,I don't know.,
"At the 3 hour timepoint, which PBS/EICH concentration condition shows visible phase separation or layering in the tube?",PMC4509882_00006_figure0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,491,4,1161.1,7.6e-05,I don't know.,,0,0,0,0,0,0.0,504,4,755.9,7.8e-05,I don't know.,,0,0,0,0,0,0.0,593,4,805.4,9.1e-05,I don't know.,,0,0,0,0,0,0.0,610,4,633.6,9.4e-05,I don't know.,
"At the apical region, what is the approximate difference in peak height between the preinguinal and postlingual measurements at around 3 minutes?",PMC4569605_00005_figure0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,358,4,721.0,5.6e-05,I don't know.,,0,0,0,0,0,0.0,384,4,910.7,6e-05,I don't know.,,0,0,0,1,1,1.0,421,4,2212.2,6.6e-05,I don't know.,,0,0,0,1,1,1.0,451,4,802.8,7e-05,I don't know.,
What is the mean difference (95% CI) between groups for the Working condition?,PMC3614271_00002_table1.png,figure,gpt4o-mini,0,0,0,0,0,0.0,514,4,602.5,8e-05,I don't know.,,0,0,0,0,0,0.0,527,4,745.2,8.1e-05,I don't know.,,0,0,0,0,0,0.0,589,4,549.3,9.1e-05,I don't know.,,0,0,0,0,0,0.0,606,4,764.6,9.3e-05,I don't know.,
What is the approximate % of responders in the avian ELISA values group with the highest black bar value for non-crossreacted groups?,PMC3909502_00016_figure0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,512,4,572.8,7.9e-05,I don't know.,,0,0,0,0,0,0.0,577,4,669.9,8.9e-05,I don't know.,,0,0,0,0,0,0.0,572,4,597.5,8.8e-05,I don't know.,,0,0,0,0,0,0.0,641,4,815.6,9.9e-05,I don't know.,
What is the Bias value for Septal s' outer edge when comparing Export 1 + Other exon/sv2?,PMC5501914_00010_figure1.png,figure,gpt4o-mini,0,0,0,0,0,0.0,515,4,635.2,8e-05,I don't know.,,0,0,0,0,0,0.0,528,4,621.9,8.2e-05,I don't know.,,0,0,0,0,0,0.0,568,4,675.0,8.8e-05,I don't know.,,0,0,0,0,0,0.0,585,4,693.1,9e-05,I don't know.,
What is the relative mRNA expression level of brain-derived neurotrophic factor in the brain tissue compared to the kidney tissue?,PMC5936054_00001_figure0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,490,4,838.4,7.6e-05,I don't know.,,0,0,0,0,0,0.0,507,4,614.7,7.8e-05,I don't know.,,0,0,0,0,0,0.0,565,4,562.4,8.7e-05,I don't know.,,0,0,0,0,0,0.0,586,4,648.2,9e-05,I don't know.,
Which cell type shows the highest relative expression of LILRB3 across all tissues examined?,PMC4060870_00007_figure0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,513,4,1233.0,7.9e-05,I don't know.,,0,0,0,0,0,0.0,553,4,693.9,8.5e-05,I don't know.,,0,0,0,0,0,0.0,584,4,614.5,9e-05,I don't know.,,0,0,0,0,0,0.0,628,4,709.9,9.7e-05,I don't know.,
What is the odds ratio for Church Attendance in the logistic regression model?,PMC4944850_00014_table0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,445,4,446.0,6.9e-05,I don't know.,,0,0,0,0,0,0.0,509,4,547.5,7.9e-05,I don't know.,,0,0,0,0,0,0.0,491,4,726.3,7.6e-05,I don't know.,,0,0,0,0,0,0.0,559,4,616.1,8.6e-05,I don't know.,
What is the T-max value for the R. parahippocampal gyrus in the SU > MJ region?,PMC3742334_00006_table1.png,figure,gpt4o-mini,0,0,0,0,0,0.0,512,4,1014.3,7.9e-05,I don't know.,,0,0,0,0,0,0.0,525,4,1033.7,8.1e-05,I don't know.,,0,0,0,0,0,0.0,582,4,661.1,9e-05,I don't know.,,0,0,0,0,0,0.0,599,4,600.6,9.2e-05,I don't know.,
What is the mean hemoglobin level (g/dL) in high-risk patients with a short interval follow-up?,PMC5993133_00005_table0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,499,4,889.1,7.7e-05,I don't know.,,0,0,0,0,0,0.0,573,4,602.5,8.8e-05,I don't know.,,0,0,0,0,0,0.0,559,4,590.1,8.6e-05,I don't know.,,0,0,0,0,0,0.0,637,4,608.9,9.8e-05,I don't know.,
What is the mean number of drinking occasions for binge drinking intentions under the advertising condition?,PMC5467671_00004_table1.png,figure,gpt4o-mini,0,0,0,0,0,0.0,438,4,622.5,6.8e-05,I don't know.,,0,0,0,0,0,0.0,451,4,621.8,7e-05,I don't know.,,0,0,0,0,0,0.0,507,4,610.6,7.8e-05,I don't know.,,0,0,0,0,0,0.0,524,4,731.5,8.1e-05,I don't know.,
What is the frequency range in kHz displayed on the y-axis of this spectrogram?,PMC5968860_00018_figure0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,501,4,624.0,7.8e-05,I don't know.,,0,0,0,0,0,0.0,514,4,795.0,8e-05,I don't know.,,0,0,0,0,0,0.0,552,4,916.8,8.5e-05,I don't know.,,0,0,0,0,0,0.0,569,4,710.9,8.8e-05,I don't know.,
Which GSCA gene set shows the longest red bar extending furthest to the right?,PMC3630327_00013_figure0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,593,4,607.3,9.1e-05,I don't know.,,0,0,0,0,0,0.0,606,4,939.3,9.3e-05,I don't know.,,0,0,0,0,0,0.0,644,4,1110.2,9.9e-05,I don't know.,,0,0,0,0,0,0.0,661,4,956.0,0.000102,I don't know.,
What is the size responsible for drinking statements as a percentage of total display size in the Drinktomane group?,PMC5467671_00004_table0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,449,4,599.7,7e-05,I don't know.,,0,0,0,0,0,0.0,465,4,793.3,7.2e-05,I don't know.,,0,0,0,1,1,1.0,507,4,721.2,7.8e-05,I don't know.,,0,0,0,1,1,1.0,527,4,584.5,8.1e-05,I don't know.,
What is the approximate fold change in IL-17 expression in the BCM1 group compared to PBS control?,PMC5696500_00006_figure1.png,figure,gpt4o-mini,0,0,0,0,0,0.0,506,4,518.4,7.8e-05,I don't know.,,0,0,0,0,0,0.0,519,4,1012.3,8e-05,I don't know.,,0,0,0,0,0,0.0,582,4,816.6,9e-05,I don't know.,,0,0,0,0,0,0.0,599,4,724.3,9.2e-05,I don't know.,
What is the odds ratio for teeth with caries in the periodontic treatments group?,PMC5893663_00004_table0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,511,4,673.9,7.9e-05,I don't know.,,0,0,0,0,0,0.0,530,4,522.1,8.2e-05,I don't know.,,0,0,0,1,1,1.0,557,4,801.0,8.6e-05,I don't know.,,0,0,0,1,1,1.0,580,4,659.6,8.9e-05,I don't know.,
What is the approximate median number of disease terms per gene for the HOMO category in the Distribution of HPO disease terms?,PMC4267152_00008_figure0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,455,4,816.3,7.1e-05,I don't know.,,0,0,0,0,0,0.0,468,4,755.9,7.3e-05,I don't know.,,0,0,0,1,1,1.0,527,4,1549.2,8.1e-05,I don't know.,,0,0,0,1,1,1.0,544,4,560.8,8.4e-05,I don't know.,
At what wavelength does the 320nm excitation condition produce its peak emission intensity?,PMC4977338_00003_figure1.png,figure,gpt4o-mini,0,0,0,0,0,0.0,434,4,937.1,6.8e-05,I don't know.,,0,0,0,0,0,0.0,451,4,5216.9,7e-05,I don't know.,,0,0,0,1,1,1.0,493,4,773.2,7.6e-05,I don't know.,,0,0,0,1,1,1.0,514,4,968.9,8e-05,I don't know.,
Which genes are listed as being involved in negative regulation of the cell cycle?,PMC5392680_00002_table0.png,figure,gpt4o-mini,0,0,0,0,0,0.0,509,4,787.9,7.9e-05,I don't know.,,0,0,0,0,0,0.0,522,4,962.4,8.1e-05,I don't know.,,0,0,0,0,0,0.0,568,4,3589.6,8.8e-05,I don't know.,,0,0,0,0,0,0.0,585,4,556.6,9e-05,I don't know.,
