question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_complete,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_complete,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error
"According to the 2001 census, what was the population of the city in which Kirton End is located?","Boston,_Lincolnshire|Kirton_End",hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,419,4,1751.4,6.5e-05,I don't know.,,0,0,0,0.0,0,0.0,439,4,836.4,6.8e-05,I don't know.,
Andrew Jaspan was the co-founder of what not-for-profit media outlet?,Andrew_Jaspan|The_Conversation_(website),hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,459,4,919.5,7.1e-05,I don't know.,,0,0,0,0.0,0,0.0,472,4,597.3,7.3e-05,I don't know.,
Who was Chamberlain and Colonel of the military staff of The Merrie Monarch?,Charles_Hastings_Judd|Kalākaua,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,396,4,713.1,6.2e-05,I don't know.,,0,0,0,0.0,0,0.0,416,4,654.3,6.5e-05,I don't know.,
"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?",Chattahoochee_(song)|We'll_Burn_That_Bridge,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,430,4,896.5,6.7e-05,I don't know.,,0,0,0,0.0,0,0.0,443,4,953.3,6.9e-05,I don't know.,
What is the name of the Isles who were led by Aonghus Mór and covered a total land area of over 8300 km2?,Aonghus_Mór|Kingdom_of_the_Isles,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,517,4,584.0,8e-05,I don't know.,,0,0,0,0.0,0,0.0,530,4,581.9,8.2e-05,I don't know.,
Which country did the Falkland Islands beat in the 2010 Commonwealth games that has eleven administrative divisions?,Gerald_Reive|Samoa,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,336,4,601.0,5.3e-05,I don't know.,,0,0,0,0.0,0,0.0,349,4,462.5,5.5e-05,I don't know.,
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,End_of_Days_(film)|Oh_My_God_(Guns_N'_Roses_song),hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,541,4,823.2,8.4e-05,I don't know.,,0,0,0,0.0,0,0.0,561,4,730.1,8.7e-05,I don't know.,
"What station broadcast the episode ""Marry Me a Little, Marry Me a Little More"" , of the series created by Max Mutchnick and David Kohan?","Marry_Me_a_Little,_Marry_Me_a_Little_More|Will_&amp;_Grace",hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,593,4,622.1,9.1e-05,I don't know.,,0,0,0,0.0,0,0.0,606,4,664.7,9.3e-05,I don't know.,
Which professional baseball player and National 1993 Baseball Hall of Fame inductee is featured in the Greatest Sports Legends anthology? ,Greatest_Sports_Legends|Reggie_Jackson,hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,489,4,551.7,7.6e-05,I don't know.,,0,0,0,0.0,0,0.0,502,4,659.0,7.8e-05,I don't know.,
"During Siege of Bharatpur, which Commander-in-Chief of Ireland and Commander-in-Chief of India contributed to the storming of the castle?","Siege_of_Bharatpur|Stapleton_Cotton,_1st_Viscount_Combermere",hotpot_bridge,gpt4o-mini,0,0,0,0.0,0,0.0,342,4,539.0,5.4e-05,I don't know.,,0,0,0,0.0,0,0.0,360,4,661.1,5.6e-05,I don't know.,
