question,expected_source,question_type,model,baseline_acc,baseline_faith,baseline_rel,baseline_rec,baseline_mrr,baseline_in_tok,baseline_out_tok,baseline_latency_ms,baseline_cost_usd,baseline_answer,baseline_error,+KG_acc,+KG_faith,+KG_rel,+KG_rec,+KG_mrr,+KG_in_tok,+KG_out_tok,+KG_latency_ms,+KG_cost_usd,+KG_answer,+KG_error,+multimodal_acc,+multimodal_faith,+multimodal_rel,+multimodal_rec,+multimodal_mrr,+multimodal_in_tok,+multimodal_out_tok,+multimodal_latency_ms,+multimodal_cost_usd,+multimodal_answer,+multimodal_error,+both_acc,+both_faith,+both_rel,+both_rec,+both_mrr,+both_in_tok,+both_out_tok,+both_latency_ms,+both_cost_usd,+both_answer,+both_error
What vaccine is currently the only one used in China for leptospirosis?,PMC5985562_00009.txt,text,gpt4o-mini,1,1,1,1,1.0,432,20,963.4,7.7e-05,The only vaccine currently used in China for leptospirosis is a multivalent inactivated vaccine.,,1,0,1,1,1.0,495,19,883.8,8.6e-05,The currently used vaccine in China for leptospirosis is a multivalent inactivated vaccine.,,1,1,1,1,1.0,25938,20,1271.9,0.003903,The only vaccine currently used in China for leptospirosis is a multivalent inactivated vaccine.,,1,1,1,1,1.0,26005,20,1338.4,0.003913,The only vaccine currently used in China for leptospirosis is a multivalent inactivated vaccine.,
What percentage increase in signal was observed for buprenorphine in the binary mixture when analyzed by TD-DART-MS?,PMC5731661_00008.txt,text,gpt4o-mini,1,1,1,1,1.0,472,26,930.6,8.6e-05,A 323% increase in signal was observed for buprenorphine in the binary mixture when analyzed by TD-DART-MS.,,1,1,1,1,1.0,573,26,874.4,0.000102,A 323% increase in signal was observed for buprenorphine in the binary mixture when analyzed by TD-DART-MS.,,1,1,1,1,1.0,25978,26,1284.9,0.003912,A 323% increase in signal was observed for buprenorphine in the binary mixture when analyzed by TD-DART-MS.,,1,1,1,1,1.0,26083,26,1514.5,0.003928,A 323% increase in signal was observed for buprenorphine in the binary mixture when analyzed by TD-DART-MS.,
What is the name of the instrument developed at Laval University to measure doctor-patient communication competency in medical students?,PMC5658909_00001.txt,text,gpt4o-mini,1,1,1,1,1.0,422,33,1297.6,8.3e-05,The instrument developed at Laval University to measure doctor-patient communication competency in medical students is called the Doctor-Patient Communication C,,0,0,0,1,1.0,485,4,685.2,7.5e-05,I don't know.,,1,0,1,1,1.0,25928,35,1984.0,0.00391,"The instrument developed at Laval University to measure doctor-patient communication competency in medical students is called the ""Doctor-Patient Communication ",,1,0,1,1,1.0,25995,35,1687.8,0.00392,"The instrument developed at Laval University to measure doctor-patient communication competency in medical students is called the ""Doctor-Patient Communication ",
What linguistic cue indicates that the speaker knows what they are saying is factually not true in counterfactual comprehension?,PMC5018041_00001.txt,text,gpt4o-mini,1,1,1,1,1.0,366,28,962.2,7.2e-05,The use of the subjunctive mood indicates that the speaker knows what they are saying is factually not true in counterfactual comprehension.,,1,1,1,1,1.0,449,30,1129.1,8.5e-05,The subjunctive mood is the linguistic cue that indicates that the speaker knows what they are saying is factually not true in counterfactual comprehension.,,1,1,1,1,1.0,25872,57,1879.4,0.003915,"In counterfactual comprehension, the linguistic cue that indicates the speaker knows what they are saying is factually not true is the use of the subjunctive mo",,1,1,1,1,1.0,25959,32,1695.1,0.003913,The linguistic cue that indicates the speaker knows what they are saying is factually not true in counterfactual comprehension is the use of the subjunctive moo,
What was the primary diagnosis of the 115 women in the BED group?,PMC3051108_00002.txt,text,gpt4o-mini,1,1,1,1,1.0,463,20,1000.4,8.1e-05,The primary diagnosis of the 115 women in the BED group was Binge Eating Disorder (BED).,,1,1,1,1,1.0,546,20,896.9,9.4e-05,The primary diagnosis of the 115 women in the BED group was Binge Eating Disorder (BED).,,1,1,1,1,1.0,25969,20,1429.8,0.003907,The primary diagnosis of the 115 women in the BED group was Binge Eating Disorder (BED).,,1,1,1,1,1.0,26056,20,1237.6,0.00392,The primary diagnosis of the 115 women in the BED group was Binge Eating Disorder (BED).,
What type of mice were used to evaluate the protective role of EGCG against diabetic testicular damage?,PMC5733955_00001.txt,text,gpt4o-mini,0,1,1,1,1.0,477,34,978.4,9.2e-05,The type of mice used to evaluate the protective role of EGCG against diabetic testicular damage were male C57BL/6 wild-type and Nef Knockout mice.,,0,1,1,1,1.0,549,34,1167.7,0.000103,The type of mice used to evaluate the protective role of EGCG against diabetic testicular damage were male C57BL/6 wild-type and Nef Knockout mice.,,0,1,1,1,1.0,25983,34,1997.8,0.003918,The type of mice used to evaluate the protective role of EGCG against diabetic testicular damage were male C57BL/6 wild-type and Nef Knockout mice.,,0,1,1,1,1.0,26059,34,2324.8,0.003929,The type of mice used to evaluate the protective role of EGCG against diabetic testicular damage were male C57BL/6 wild-type and Nef Knockout mice.,
What questionnaire module is used alongside the EORTC QLQ-C30 to assess breast cancer-specific symptoms?,PMC5759866_00005.txt,text,gpt4o-mini,1,1,1,1,1.0,498,28,967.6,9.1e-05,The breast cancer-specific module used alongside the EORTC QLQ-C30 is the EORTC-QLQ-ERDS.,,1,1,1,1,1.0,573,28,920.2,0.000103,The breast cancer-specific module used alongside the EORTC QLQ-C30 is the EORTC-QLQ-ERDS.,,1,1,1,1,1.0,26004,32,2082.9,0.00392,The questionnaire module used alongside the EORTC QLQ-C30 to assess breast cancer-specific symptoms is the EORTC-QLQ-ERDS.,,1,1,1,1,1.0,26083,32,1835.2,0.003932,The questionnaire module used alongside the EORTC QLQ-C30 to assess breast cancer-specific symptoms is the EORTC-QLQ-ERDS.,
What year is associated with the Cngenve ae Fae nvsom esas entity in the passage?,PMC4974260_00004.txt,text,gpt4o-mini,0,0,0,0,0.0,457,4,689.9,7.1e-05,I don't know.,,0,0,0,0,0.0,472,4,544.2,7.3e-05,I don't know.,,0,0,0,0,0.0,25963,4,991.4,0.003897,I don't know.,,0,0,0,0,0.0,25982,4,969.7,0.0039,I don't know.,
What term did the vocational trainees in this Swedish general practice study use to refer to a specific refugee group?,PMC4205530_00005.txt,text,gpt4o-mini,1,1,1,1,1.0,440,26,1172.1,8.2e-05,"The term used to refer to a specific refugee group by the vocational trainees in the Swedish general practice study is ""Somali patient.""",,1,0,1,1,1.0,520,21,1803.2,9.1e-05,"The vocational trainees in the Swedish general practice study referred to a specific refugee group as ""Somali patient.""",,1,1,1,1,1.0,25946,21,2515.8,0.003904,"The vocational trainees in the Swedish general practice study referred to a specific refugee group as ""Somali patients.""",,1,1,1,1,1.0,26030,21,1588.5,0.003917,"The vocational trainees in the Swedish general practice study referred to a specific refugee group as ""Somali patients.""",
What two approaches are discussed for assessing the grammatical abilities of nonhuman animals?,PMC5325849_00000.txt,text,gpt4o-mini,1,1,1,1,1.0,431,51,1473.5,9.5e-05,The two approaches discussed for assessing the grammatical abilities of nonhuman animals are: 1) comparing the sounds of animal vocalizations with linguistic on,,1,1,1,1,1.0,510,50,4442.9,0.000107,"The two approaches discussed for assessing the grammatical abilities of nonhuman animals are: 1) comparing the vocalizations of animals to linguistic ones, and ",,1,1,1,1,1.0,25937,49,2708.3,0.00392,The two approaches discussed for assessing the grammatical abilities of nonhuman animals are:  1. Comparing the vocalizations of animals with human language. 2.,,1,1,1,1,1.0,26020,49,2641.7,0.003932,The two approaches discussed for assessing the grammatical abilities of nonhuman animals are:  1. Comparing the vocalizations of animals to linguistic ones. 2. ,
